GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1699410117128,SushiGo,3,GAME_OVER,62,0,2,78,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,52.0,49.0,GroupT,GroupT,BasicMCTS,1
1699410117129,SushiGo,3,GAME_OVER,62,0,2,79,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,48.0,54.0,GroupT,GroupT,BasicMCTS,0
1699410117130,SushiGo,3,GAME_OVER,60,0,2,80,1,GroupT,1,2,2,BasicMCTS,GroupT,60.0,47.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117131,SushiGo,3,GAME_OVER,61,0,2,81,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,51.0,47.0,GroupT,GroupT,BasicMCTS,1
1699410117132,SushiGo,3,GAME_OVER,60,0,2,82,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,48.0,53.0,GroupT,GroupT,BasicMCTS,0
1699410117133,SushiGo,3,GAME_OVER,62,0,2,83,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,56.0,56.0,GroupT,GroupT,BasicMCTS,0
1699410117134,SushiGo,3,GAME_OVER,60,0,2,84,2,GroupT,2,1,1,BasicMCTS,GroupT,50.0,53.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117135,SushiGo,3,GAME_OVER,62,0,2,85,1,GroupT,1,2,2,BasicMCTS,GroupT,52.0,42.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117136,SushiGo,3,GAME_OVER,62,0,2,86,1,GroupT,1,2,2,BasicMCTS,GroupT,59.0,42.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117137,SushiGo,3,GAME_OVER,60,0,2,87,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,50.0,48.0,GroupT,GroupT,BasicMCTS,1
1699410117138,SushiGo,3,GAME_OVER,62,0,2,88,1,GroupT,1,2,2,BasicMCTS,GroupT,51.0,45.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117139,SushiGo,3,GAME_OVER,62,0,2,89,2,GroupT,2,1,1,BasicMCTS,GroupT,50.0,53.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117140,SushiGo,3,GAME_OVER,63,0,2,90,1,GroupT,1,2,2,BasicMCTS,GroupT,59.0,41.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117141,SushiGo,3,GAME_OVER,61,0,2,91,2,GroupT,2,1,1,BasicMCTS,GroupT,35.0,46.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117142,SushiGo,3,GAME_OVER,60,0,2,92,2,GroupT,2,1,1,BasicMCTS,GroupT,44.0,46.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117143,SushiGo,3,GAME_OVER,60,0,2,93,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,59.0,46.0,GroupT,GroupT,BasicMCTS,1
1699410117144,SushiGo,3,GAME_OVER,61,0,2,94,1,GroupT,1,2,2,BasicMCTS,GroupT,60.0,43.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117145,SushiGo,3,GAME_OVER,62,0,2,95,2,GroupT,2,1,1,BasicMCTS,GroupT,37.0,47.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117146,SushiGo,3,GAME_OVER,62,0,2,96,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,53.0,58.0,GroupT,GroupT,BasicMCTS,0
1699410117147,SushiGo,3,GAME_OVER,60,0,2,97,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,66.0,51.0,GroupT,GroupT,BasicMCTS,1
1699410117148,SushiGo,3,GAME_OVER,61,0,2,98,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,38.0,34.0,GroupT,GroupT,BasicMCTS,1
1699410117149,SushiGo,3,GAME_OVER,63,0,2,99,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,48.0,64.0,GroupT,GroupT,BasicMCTS,0
1699410117150,SushiGo,3,GAME_OVER,60,0,2,100,2,GroupT,2,1,1,BasicMCTS,GroupT,44.0,56.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117151,SushiGo,3,GAME_OVER,61,0,2,101,1,GroupT,1,2,2,BasicMCTS,GroupT,59.0,47.0,BasicMCTS,BasicMCTS,GroupT,1
